congress_id,page,bill_id,bill_href,title,sponsor,sponsor_party,sponsor_state,sponsor_district,n_cosponsor,same_party,same_state,same_party_state,committee,status
115,1,7401,https://www.congress.gov/bill/115th-congress/house-bill/7401?s=9&r=1,Strengthening Refugee Resettlement Act,"Ellison, Keith",D,MN,5,0,0,0,0,House - Judiciary; Foreign Affairs; Ways and Means,Introduced
115,1,7400,https://www.congress.gov/bill/115th-congress/house-bill/7400?s=9&r=2,Making continuing appropriations for the Coast Guard.,"Wild, Susan",D,PA,15,0,0,0,0,House - Appropriations,Introduced
115,1,7399,https://www.congress.gov/bill/115th-congress/house-bill/7399?s=9&r=3,Inaugural Fund Integrity Act,"Scanlon, Mary Gay",D,PA,7,0,0,0,0,House - House Administration; Oversight and Government Reform,Introduced
115,1,7398,https://www.congress.gov/bill/115th-congress/house-bill/7398?s=9&r=4,SPA Act,"Foster, Bill",D,IL,11,0,0,0,0,House - House Administration,Introduced
115,1,7397,https://www.congress.gov/bill/115th-congress/house-bill/7397?s=9&r=5,"To provide further additional continuing appropriations for fiscal year 2019, and for other purposes.","Hoyer, Steny H.",D,MD,5,0,0,0,0,House - Appropriations; Budget,Introduced
115,1,7396,https://www.congress.gov/bill/115th-congress/house-bill/7396?s=9&r=6,Border Security and Child Safety Act,"Torres, Norma J.",D,CA,35,2,2,1,1,House - Judiciary; Homeland Security,Introduced
115,1,7395,https://www.congress.gov/bill/115th-congress/house-bill/7395?s=9&r=7,"To direct the Secretary of Health and Human Services to allow delivery of medical supplies by unmanned aerial systems, and for other purposes.","Meadows, Mark",R,NC,11,0,0,0,0,House - Transportation and Infrastructure; Energy and Commerce; Ways and Means; Natural Resources,Introduced
115,1,7394,https://www.congress.gov/bill/115th-congress/house-bill/7394?s=9&r=8,"To prohibit the Federal financial regulators from requiring compliance with the accounting standards update of the Financial Accounting Standards Board related to current expected credit loss (""CECL""), to require the Securities and Exchange Commission to take certain impacts of a proposed accounting principle into consideration before accepting the principle, and for other purposes.","Luetkemeyer, Blaine",R,MO,3,1,1,0,0,House - Financial Services; Agriculture,Introduced
115,1,7393,https://www.congress.gov/bill/115th-congress/house-bill/7393?s=9&r=9,Medicaid Quality Care Act,"Faso, John J.",R,NY,19,0,0,0,0,House - Energy and Commerce,Introduced
115,1,7392,https://www.congress.gov/bill/115th-congress/house-bill/7392?s=9&r=10,TRACED Act,"Babin, Brian",R,TX,36,0,0,0,0,House - Energy and Commerce,Introduced
115,1,7391,https://www.congress.gov/bill/115th-congress/house-bill/7391?s=9&r=11,Rural Hospital Freedom and Flexibility Act of 2018,"Arrington, Jodey C.",R,TX,19,0,0,0,0,House - Ways and Means; Energy and Commerce,Introduced
115,1,7390,https://www.congress.gov/bill/115th-congress/house-bill/7390?s=9&r=12,Violence Against Women Extension Act of 2018,"Jackson Lee, Sheila",D,TX,18,2,2,0,0,House - Judiciary; Energy and Commerce; Education and the Workforce; Financial Services; Natural Resources; Foreign Affairs,Introduced
115,1,7389,https://www.congress.gov/bill/115th-congress/house-bill/7389?s=9&r=13,Federal Permitting Reform and Jobs Act,"Marino, Tom",R,PA,10,0,0,0,0,House - Natural Resources,Introduced
115,1,7388,https://www.congress.gov/bill/115th-congress/house-bill/7388?s=9&r=14,National Flood Insurance Program Competition and Extension Act of 2018,"MacArthur, Thomas",R,NJ,3,0,0,0,0,House - Financial Services,Failed House
115,1,7387,https://www.congress.gov/bill/115th-congress/house-bill/7387?s=9&r=15,Crooked River Ranch Fire Protection Act,"Walden, Greg",R,OR,2,0,0,0,0,House - Natural Resources,Introduced
