congress_id,page,bill_id,bill_href,title,sponsor,sponsor_party,sponsor_state,sponsor_district,n_cosponsor,same_party,same_state,same_party_state,committee,status
112,1,6729,https://www.congress.gov/bill/112th-congress/house-bill/6729?s=9&r=1,"To save at least $10,000,000,000 by consolidating some duplicative and overlapping Government programs.","Culberson, John Abney",R,TX,7,9,9,1,1,House - Oversight and Government Reform; Appropriations,Introduced
112,1,6728,https://www.congress.gov/bill/112th-congress/house-bill/6728?s=9&r=2,Disaster Recovery Reform Act of 2012,"Denham, Jeff",R,CA,19,3,1,0,0,House - Transportation and Infrastructure,Introduced
112,1,6727,https://www.congress.gov/bill/112th-congress/house-bill/6727?s=9&r=3,United States Job Creation and Manufacturing Competitiveness Act of 2013,"Camp, Dave",R,MI,4,3,1,1,0,House - Ways and Means,Introduced
112,1,6726,https://www.congress.gov/bill/112th-congress/house-bill/6726?s=9&r=4,Congressional Pay Freeze and Fiscal Responsibility Act,"Fitzpatrick, Michael G.",R,PA,8,20,20,2,2,House - Oversight and Government Reform; House Administration | Senate - Homeland Security and Governmental Affairs,Passed House
112,1,6725,https://www.congress.gov/bill/112th-congress/house-bill/6725?s=9&r=5,NRA Members' Gun Safety Act of 2012,"Moran, James P.",D,VA,8,0,0,0,0,House - Judiciary,Introduced
112,1,6724,https://www.congress.gov/bill/112th-congress/house-bill/6724?s=9&r=6,Commercial Automotive Products Export Reform Act of 2012,"Kelly, Mike",R,PA,3,0,0,0,0,House - Foreign Affairs,Introduced
112,1,6723,https://www.congress.gov/bill/112th-congress/house-bill/6723?s=9&r=7,Inspector General Improvement Act of 2012,"Emerson, Jo Ann",R,MO,8,0,0,0,0,House - Oversight and Government Reform,Introduced
112,1,6722,https://www.congress.gov/bill/112th-congress/house-bill/6722?s=9&r=8,To provide that no pay adjustment for Members of Congress shall be made in fiscal year 2013.,"Bachmann, Michele",R,MN,6,2,1,0,0,House - House Administration; Oversight and Government Reform,Introduced
112,1,6721,https://www.congress.gov/bill/112th-congress/house-bill/6721?s=9&r=9,To provide that no pay adjustment for Members of Congress shall be made in fiscal year 2013 or 2014.,"Fitzpatrick, Michael G.",R,PA,8,35,33,4,4,House - House Administration; Oversight and Government Reform,Introduced
112,1,6720,https://www.congress.gov/bill/112th-congress/house-bill/6720?s=9&r=10,To provide that no pay adjustment for Members of Congress shall be made in fiscal year 2013 or 2014.,"Flores, Bill",R,TX,17,0,0,0,0,House - House Administration; Oversight and Government Reform,Introduced
112,1,6719,https://www.congress.gov/bill/112th-congress/house-bill/6719?s=9&r=11,Telehealth Promotion Act of 2012,"Thompson, Mike",D,CA,1,0,0,0,0,House - Energy and Commerce; Ways and Means; Oversight and Government Reform; Armed Services; Veterans' Affairs,Introduced
112,1,6718,https://www.congress.gov/bill/112th-congress/house-bill/6718?s=9&r=12,Early Intervention for Toddlers and Infants with Disabilities Act,"Richardson, Laura",D,CA,37,0,0,0,0,House - Education and the Workforce,Introduced
112,1,6717,https://www.congress.gov/bill/112th-congress/house-bill/6717?s=9&r=13,Protecting Students from Worthless Degrees Act,"Conyers, John, Jr.",D,MI,14,3,3,0,0,House - Education and the Workforce; Armed Services; Veterans' Affairs,Introduced
112,1,6716,https://www.congress.gov/bill/112th-congress/house-bill/6716?s=9&r=14,To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to eliminate the sequestrations for fiscal year 2013.,"Dicks, Norman D.",D,WA,6,0,0,0,0,House - Budget,Introduced
112,1,6715,https://www.congress.gov/bill/112th-congress/house-bill/6715?s=9&r=15,Protecting Our Protectors Act of 2012,"Richardson, Laura",D,CA,37,0,0,0,0,House - Energy and Commerce; Homeland Security,Introduced
112,1,6714,https://www.congress.gov/bill/112th-congress/house-bill/6714?s=9&r=16,Cainaan Putuga Wendt Shock of Life Act,"Richardson, Laura",D,CA,37,0,0,0,0,House - Education and the Workforce; Energy and Commerce,Introduced
112,1,6713,https://www.congress.gov/bill/112th-congress/house-bill/6713?s=9&r=17,Ensuring Scanned Containers Arrive in Ports Efficiently Act of 2012,"Richardson, Laura",D,CA,37,0,0,0,0,House - Homeland Security,Introduced
112,1,6712,https://www.congress.gov/bill/112th-congress/house-bill/6712?s=9&r=18,Elgin's Law,"Richardson, Laura",D,CA,37,0,0,0,0,House - Energy and Commerce,Introduced
112,1,6711,https://www.congress.gov/bill/112th-congress/house-bill/6711?s=9&r=19,Keeping our Communities Safe by Strengthening Safety Standards for Chemical Facilities Act,"Richardson, Laura",D,CA,37,0,0,0,0,House - Energy and Commerce,Introduced
112,1,6710,https://www.congress.gov/bill/112th-congress/house-bill/6710?s=9&r=20,Caring for an Aging America Act,"Richardson, Laura",D,CA,37,0,0,0,0,House - Energy and Commerce,Introduced
112,1,6709,https://www.congress.gov/bill/112th-congress/house-bill/6709?s=9&r=21,Course Material Pilot Grant Program Act,"Richardson, Laura",D,CA,37,0,0,0,0,House - Education and the Workforce,Introduced
112,1,6708,https://www.congress.gov/bill/112th-congress/house-bill/6708?s=9&r=22,To authorize certain appropriations under the Native American Programs Act of 1974.,"Richardson, Laura",D,CA,37,0,0,0,0,House - Education and the Workforce,Introduced
112,1,6707,https://www.congress.gov/bill/112th-congress/house-bill/6707?s=9&r=23,Child Care and Resources Education Act of 2012,"Richardson, Laura",D,CA,37,0,0,0,0,House - Education and the Workforce,Introduced
112,1,6706,https://www.congress.gov/bill/112th-congress/house-bill/6706?s=9&r=24,Fair Debt Collection Practices Technical Correction Act of 2012,"Jones, Walter B., Jr.",R,NC,3,0,0,0,0,House - Financial Services,Introduced
112,1,6705,https://www.congress.gov/bill/112th-congress/house-bill/6705?s=9&r=25,Building Efficiently Act of 2012,"Langevin, James R.",D,RI,2,1,1,0,0,House - Ways and Means,Introduced
112,1,6704,https://www.congress.gov/bill/112th-congress/house-bill/6704?s=9&r=26,To reauthorize the ban on undetectable firearms.,"Israel, Steve",D,NY,2,0,0,0,0,House - Judiciary,Introduced
112,1,6703,https://www.congress.gov/bill/112th-congress/house-bill/6703?s=9&r=27,METRICS Act,"Holt, Rush",D,NJ,12,0,0,0,0,House - Education and the Workforce,Introduced
112,1,6702,https://www.congress.gov/bill/112th-congress/house-bill/6702?s=9&r=28,"To amend the National Organ Transplant Act to prevent the sale of bone marrow and umbilical cord blood, and for other purposes.","Young, C. W. Bill",R,FL,10,1,0,0,0,House - Energy and Commerce,Introduced
112,1,6701,https://www.congress.gov/bill/112th-congress/house-bill/6701?s=9&r=29,"To provide for the continued lease or eventual conveyance of certain Federal land within the boundaries of Fort Wainwright Military Reservation in Fairbanks, Alaska.","Young, Don",R,AK,At Large,0,0,0,0,House - Natural Resources; Armed Services,Introduced
112,1,6700,https://www.congress.gov/bill/112th-congress/house-bill/6700?s=9&r=30,Stop Deducting Damages Act of 2012,"Welch, Peter",D,VT,At Large,2,2,0,0,House - Ways and Means,Introduced
112,1,6699,https://www.congress.gov/bill/112th-congress/house-bill/6699?s=9&r=31,Liquefied Natural Gas for NATO Act,"Turner, Michael R.",R,OH,3,0,0,0,0,House - Energy and Commerce; Foreign Affairs,Introduced
112,1,6698,https://www.congress.gov/bill/112th-congress/house-bill/6698?s=9&r=32,Walter Patterson Justice and Extradition Act,"Smith, Christopher H.",R,NJ,4,0,0,0,0,House - Foreign Affairs,Introduced
112,1,6697,https://www.congress.gov/bill/112th-congress/house-bill/6697?s=9&r=33,Consumer Bounty Act,"Kucinich, Dennis J.",D,OH,10,0,0,0,0,House - Energy and Commerce; Judiciary; Transportation and Infrastructure; Natural Resources,Introduced
112,1,6696,https://www.congress.gov/bill/112th-congress/house-bill/6696?s=9&r=34,Blackwater Trading Post Land Transfer Act,"Gosar, Paul A.",R,AZ,1,1,1,1,1,House - Natural Resources,Introduced
112,1,6695,https://www.congress.gov/bill/112th-congress/house-bill/6695?s=9&r=35,Equitable Treatment of Investors Act,"Garrett, Scott",R,NJ,5,0,0,0,0,House - Financial Services,Introduced
112,1,6694,https://www.congress.gov/bill/112th-congress/house-bill/6694?s=9&r=36,To amend the definition of mortgage originator under the Dodd-Frank Wall Street Reform and Consumer Protection Act to include certain employees of a retailer of manufactured homes.,"Fincher, Stephen Lee",R,TN,8,0,0,0,0,House - Financial Services,Introduced
112,1,6693,https://www.congress.gov/bill/112th-congress/house-bill/6693?s=9&r=37,"To amend the Animal Welfare Act to provide for the protection of birds, rats, and mice, and for other purposes.","Connolly, Gerald E.",D,VA,11,1,1,0,0,House - Agriculture,Introduced
112,1,6692,https://www.congress.gov/bill/112th-congress/house-bill/6692?s=9&r=38,To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to exempt the Substance Abuse and Mental Health Services Administration (SAMHSA) from sequestration.,"Clarke, Hansen",D,MI,13,5,5,0,0,House - Budget,Introduced
112,1,6691,https://www.congress.gov/bill/112th-congress/house-bill/6691?s=9&r=39,CAMPUS Safety Act of 2012,"Scott, Robert C. ""Bobby""",D,VA,3,2,1,1,0,House - Judiciary,Introduced
112,1,6690,https://www.congress.gov/bill/112th-congress/house-bill/6690?s=9&r=40,To limit the Secretary of the Air Force from retiring or transferring certain aircraft of the Air National Guard or Air Force Reserve.,"Latham, Tom",R,IA,4,11,8,4,1,House - Armed Services,Introduced
112,1,6689,https://www.congress.gov/bill/112th-congress/house-bill/6689?s=9&r=41,"To amend the Reclamation Wastewater and Groundwater Study and Facilities Act to authorize the Secretary of the Interior to participate in the design, planning, and construction of the South Sacramento County Agriculture and Habitat Lands Water Recycling Project in Sacramento County, California.","Matsui, Doris O.",D,CA,5,0,0,0,0,House - Natural Resources,Introduced
112,1,6688,https://www.congress.gov/bill/112th-congress/house-bill/6688?s=9&r=42,Averting the Fiscal Cliff Act,"Jordan, Jim",R,OH,4,22,22,1,1,House - Ways and Means; Budget; Agriculture; Energy and Commerce; Financial Services; Judiciary; Oversight and Government Reform; House Administration; Rules,Introduced
112,1,6687,https://www.congress.gov/bill/112th-congress/house-bill/6687?s=9&r=43,To amend the Internal Revenue Code of 1986 to include vaccines against seasonal influenza within the definition of taxable vaccines.,"Gerlach, Jim",R,PA,6,1,0,0,0,House - Ways and Means,Introduced
112,1,6686,https://www.congress.gov/bill/112th-congress/house-bill/6686?s=9&r=44,Mercury Use Reduction Act of 2012,"Eshoo, Anna G.",D,CA,14,0,0,0,0,House - Energy and Commerce,Introduced
112,1,6685,https://www.congress.gov/bill/112th-congress/house-bill/6685?s=9&r=45,PLEA Act,"Engel, Eliot L.",D,NY,17,0,0,0,0,House - Judiciary,Introduced
112,1,6684,https://www.congress.gov/bill/112th-congress/house-bill/6684?s=9&r=46,Spending Reduction Act of 2012,"Cantor, Eric",R,VA,7,0,0,0,0,House - Budget; Ways and Means; Agriculture; Energy and Commerce; Financial Services; Judiciary; Oversight and Government Reform; House Administration; Rules,Passed House
112,1,6683,https://www.congress.gov/bill/112th-congress/house-bill/6683?s=9&r=47,Hurricane Sandy Tax Relief Act of 2012,"Pascrell, Bill, Jr.",D,NJ,8,26,17,11,5,House - Ways and Means,Introduced
112,1,6682,https://www.congress.gov/bill/112th-congress/house-bill/6682?s=9&r=48,Standard DATA Act of 2012,"Reed, Tom",R,NY,29,1,0,0,0,House - Ways and Means; Energy and Commerce,Introduced
112,1,6681,https://www.congress.gov/bill/112th-congress/house-bill/6681?s=9&r=49,"To designate the facility of the United States Postal Service located at 815 County Road 23 in Tyrone, New York, as the ""Specialist Christopher Scott Post Office Building"".","Reed, Tom",R,NY,29,29,8,28,7,House - Oversight and Government Reform,Introduced
112,1,6680,https://www.congress.gov/bill/112th-congress/house-bill/6680?s=9&r=50,Blair Holt's Firearm Licensing and Record of Sale Act of 2012,"Rush, Bobby L.",D,IL,1,0,0,0,0,House - Judiciary,Introduced
112,1,6679,https://www.congress.gov/bill/112th-congress/house-bill/6679?s=9&r=51,Tim Fagan's Law,"Israel, Steve",D,NY,2,0,0,0,0,House - Energy and Commerce,Introduced
112,1,6678,https://www.congress.gov/bill/112th-congress/house-bill/6678?s=9&r=52,College Research Education and Teacher Excellence (CREATE) Opportunity Act of 2012,"Holt, Rush",D,NJ,12,0,0,0,0,House - Education and the Workforce; Ways and Means,Introduced
112,1,6677,https://www.congress.gov/bill/112th-congress/house-bill/6677?s=9&r=53,Common Sense Housing Investment Act of 2012,"Ellison, Keith",D,MN,5,1,1,0,0,House - Ways and Means; Financial Services,Introduced
112,1,6676,https://www.congress.gov/bill/112th-congress/house-bill/6676?s=9&r=54,Drone Aircraft Privacy and Transparency Act of 2012,"Markey, Edward J.",D,MA,7,0,0,0,0,House - Transportation and Infrastructure; Energy and Commerce,Introduced
112,1,6675,https://www.congress.gov/bill/112th-congress/house-bill/6675?s=9&r=55,"Economic Stimulus, Tax Credit Act of 2012","Andrews, Robert E.",D,NJ,1,0,0,0,0,House - Ways and Means; Armed Services,Introduced
112,1,6674,https://www.congress.gov/bill/112th-congress/house-bill/6674?s=9&r=56,ExCEL Act of 2012,"Petri, Thomas E.",R,WI,6,0,0,0,0,House - Education and the Workforce; Ways and Means,Introduced
112,1,6673,https://www.congress.gov/bill/112th-congress/house-bill/6673?s=9&r=57,Sarah Grace Act of 2012,"Israel, Steve",D,NY,2,0,0,0,0,House - Education and the Workforce; Oversight and Government Reform; House Administration,Introduced
112,1,6672,https://www.congress.gov/bill/112th-congress/house-bill/6672?s=9&r=58,Pandemic and All-Hazards Preparedness Reauthorization Act of 2012,"Rogers, Mike J.",R,MI,8,8,3,1,1,House - Energy and Commerce; Veterans' Affairs,Passed House
112,1,6671,https://www.congress.gov/bill/112th-congress/house-bill/6671?s=9&r=59,Video Privacy Protection Act Amendments Act of 2012,"Goodlatte, Bob",R,VA,6,10,5,0,0,House - Judiciary,Became Law
112,1,6670,https://www.congress.gov/bill/112th-congress/house-bill/6670?s=9&r=60,"To amend the Reclamation States Emergency Drought Relief Act of 1991 for the purposes of extending the Reclamation States Emergency Drought Relief Act of 1991 through 2017, and for other purposes.","Markey, Edward J.",D,MA,7,5,5,0,0,House - Natural Resources,Introduced
112,1,6669,https://www.congress.gov/bill/112th-congress/house-bill/6669?s=9&r=61,Foster Youth Higher Education Opportunities Act,"Lewis, John",D,GA,5,22,21,0,0,House - Education and the Workforce,Introduced
112,1,6668,https://www.congress.gov/bill/112th-congress/house-bill/6668?s=9&r=62,Workers Solidarity Act of 2012,"Kucinich, Dennis J.",D,OH,10,0,0,0,0,House - Oversight and Government Reform,Introduced
112,1,6667,https://www.congress.gov/bill/112th-congress/house-bill/6667?s=9&r=63,Financial Consumers Association Act of 2012,"Kucinich, Dennis J.",D,OH,10,0,0,0,0,House - Financial Services,Introduced
112,1,6666,https://www.congress.gov/bill/112th-congress/house-bill/6666?s=9&r=64,Healthy Communities through Helping to Offer Incentives and Choices to Everyone in Society Act,"Kind, Ron",D,WI,3,0,0,0,0,House - Energy and Commerce; Ways and Means; Natural Resources; Education and the Workforce; Transportation and Infrastructure; Agriculture,Introduced
112,1,6665,https://www.congress.gov/bill/112th-congress/house-bill/6665?s=9&r=65,Farmers Protection Act of 2012,"Crawford, Eric A. ""Rick""",R,AR,1,3,2,3,2,House - Natural Resources,Introduced
