congress_id,page,bill_id,bill_href,title,sponsor,sponsor_party,sponsor_state,sponsor_district,n_cosponsor,same_party,same_state,same_party_state,committee,status
114,1,6536,https://www.congress.gov/bill/114th-congress/house-bill/6536?s=9&r=1,No School Bus Drivers with DUIs Act of 2016,"Meng, Grace",D,NY,6,0,0,0,0,House - Education and the Workforce,Introduced
114,1,6535,https://www.congress.gov/bill/114th-congress/house-bill/6535?s=9&r=2,Nuclear Sanity Act,"Grayson, Alan",D,FL,9,0,0,0,0,House - Foreign Affairs; Armed Services,Introduced
114,1,6534,https://www.congress.gov/bill/114th-congress/house-bill/6534?s=9&r=3,MadeInAmerica.gov Act,"Meng, Grace",D,NY,6,0,0,0,0,House - Energy and Commerce,Introduced
114,1,6533,https://www.congress.gov/bill/114th-congress/house-bill/6533?s=9&r=4,Protect American Democracy Act of 2016,"Engel, Eliot L.",D,NY,16,18,18,3,3,House - Foreign Affairs; Judiciary; Financial Services,Introduced
114,1,6532,https://www.congress.gov/bill/114th-congress/house-bill/6532?s=9&r=5,Liberian Refugee Immigration Fairness Act of 2016,"Ellison, Keith",D,MN,5,2,2,0,0,House - Judiciary,Introduced
114,1,6531,https://www.congress.gov/bill/114th-congress/house-bill/6531?s=9&r=6,National Aeronautics and Space Administration Transition Authorization Act of 2016,"Smith, Lamar",R,TX,21,0,0,0,0,"House - Science, Space, and Technology",Introduced
114,1,6530,https://www.congress.gov/bill/114th-congress/house-bill/6530?s=9&r=7,No Funding for Sanctuary Campuses Act,"Hunter, Duncan D.",R,CA,50,2,2,1,1,House - Education and the Workforce,Introduced
114,1,6529,https://www.congress.gov/bill/114th-congress/house-bill/6529?s=9&r=8,Chugach Region Lands Study Act,"Young, Don",R,AK,At Large,0,0,0,0,House - Natural Resources,Introduced
114,1,6528,https://www.congress.gov/bill/114th-congress/house-bill/6528?s=9&r=9,Litigation Relief for Forest Management Projects Act,"Zinke, Ryan K.",R,MT,At Large,0,0,0,0,House - Natural Resources; Agriculture,Introduced
114,1,6527,https://www.congress.gov/bill/114th-congress/house-bill/6527?s=9&r=10,SADD Act of 2016,"Fincher, Stephen Lee",R,TN,8,0,0,0,0,House - Judiciary,Introduced
114,1,6526,https://www.congress.gov/bill/114th-congress/house-bill/6526?s=9&r=11,"To eliminate the discretion of the Secretary of Homeland Security regarding the definition of the term ""official purpose"" as it applies to drivers' licenses and personal identification cards, and for other purposes.","Emmer, Tom",R,MN,6,0,0,0,0,House - Oversight and Government Reform,Introduced
114,1,6525,https://www.congress.gov/bill/114th-congress/house-bill/6525?s=9&r=12,Lead-free Students Act,"Watson Coleman, Bonnie",D,NJ,12,0,0,0,0,House - Education and the Workforce,Introduced
114,1,6524,https://www.congress.gov/bill/114th-congress/house-bill/6524?s=9&r=13,Hudson-Mohawk River Basin Act,"Tonko, Paul",D,NY,20,0,0,0,0,House - Natural Resources; Transportation and Infrastructure,Introduced
114,1,6523,https://www.congress.gov/bill/114th-congress/house-bill/6523?s=9&r=14,Safe Transfer Act,"Speier, Jackie",D,CA,14,6,6,1,1,House - Education and the Workforce,Introduced
114,1,6522,https://www.congress.gov/bill/114th-congress/house-bill/6522?s=9&r=15,Public Release and Implementation of Department of Defense Overhead Cost Savings Act,"Schrader, Kurt",D,OR,5,0,0,0,0,House - Armed Services; Rules,Introduced
114,1,6521,https://www.congress.gov/bill/114th-congress/house-bill/6521?s=9&r=16,Students and Families Empowerment Act,"Rice, Kathleen M.",D,NY,4,0,0,0,0,House - Ways and Means; Education and the Workforce,Introduced
114,1,6520,https://www.congress.gov/bill/114th-congress/house-bill/6520?s=9&r=17,Younger-Onset Alzheimer's Disease Parity Act of 2016,"Rice, Kathleen M.",D,NY,4,0,0,0,0,House - Education and the Workforce,Introduced
114,1,6519,https://www.congress.gov/bill/114th-congress/house-bill/6519?s=9&r=18,Safeguarding Sanctuary Cities Act of 2016,"Quigley, Mike",D,IL,5,0,0,0,0,House - Judiciary; Oversight and Government Reform,Introduced
114,1,6518,https://www.congress.gov/bill/114th-congress/house-bill/6518?s=9&r=19,MACPAC Improvement Act of 2016,"Pitts, Joseph R.",R,PA,16,7,7,0,0,House - Energy and Commerce,Introduced
114,1,6517,https://www.congress.gov/bill/114th-congress/house-bill/6517?s=9&r=20,INFORM Act,"O'Rourke, Beto",D,TX,16,1,1,0,0,House - Veterans' Affairs; Armed Services,Introduced
114,1,6516,https://www.congress.gov/bill/114th-congress/house-bill/6516?s=9&r=21,"To amend the Veterans Access, Choice, and Accountability Act of 2014 to expand eligibility for the Veterans Choice Program of the Department of Veterans Affairs, to establish a minimum period of care or services under such program, and for other purposes.","O'Rourke, Beto",D,TX,16,1,1,0,0,House - Veterans' Affairs,Introduced
114,1,6515,https://www.congress.gov/bill/114th-congress/house-bill/6515?s=9&r=22,Fairness to Teaching Hospitals Act of 2016,"Mullin, Markwayne",R,OK,2,4,3,1,1,House - Ways and Means; Energy and Commerce,Introduced
114,1,6514,https://www.congress.gov/bill/114th-congress/house-bill/6514?s=9&r=23,"To amend the Patient Protection and Affordable Care Act to redirect user fees assessed of health insurance issuers on Federal Exchanges, and for other purposes.","Lance, Leonard",R,NJ,7,0,0,0,0,House - Energy and Commerce,Introduced
114,1,6513,https://www.congress.gov/bill/114th-congress/house-bill/6513?s=9&r=24,American Future Healthcare Act of 2016,"King, Steve",R,IA,4,0,0,0,0,House - Ways and Means,Introduced
114,1,6512,https://www.congress.gov/bill/114th-congress/house-bill/6512?s=9&r=25,Mental Health and Substance Abuse Treatment Accessibility Act of 2016,"Kilmer, Derek",D,WA,6,2,0,1,0,House - Energy and Commerce,Introduced
114,1,6511,https://www.congress.gov/bill/114th-congress/house-bill/6511?s=9&r=26,One President at a Time Act of 2016,"Huffman, Jared",D,CA,2,0,0,0,0,House - Judiciary,Introduced
114,1,6510,https://www.congress.gov/bill/114th-congress/house-bill/6510?s=9&r=27,Save the Children Act of 2016,"Honda, Michael M.",D,CA,17,0,0,0,0,House - Judiciary,Introduced
114,1,6509,https://www.congress.gov/bill/114th-congress/house-bill/6509?s=9&r=28,Solider's HONR Act,"Heck, Denny",D,WA,10,0,0,0,0,House - Veterans' Affairs,Introduced
114,1,6508,https://www.congress.gov/bill/114th-congress/house-bill/6508?s=9&r=29,Preventing Preventable Earthquakes Act,"Grijalva, Raúl M.",D,AZ,3,0,0,0,0,House - Energy and Commerce,Introduced
114,1,6507,https://www.congress.gov/bill/114th-congress/house-bill/6507?s=9&r=30,"To amend section 552 of title 5, United States Code (commonly known as the Freedom of Information Act), to require an agency to release the Federal income tax returns of the President upon request, and for other purposes.","Grayson, Alan",D,FL,9,0,0,0,0,House - Ways and Means; Oversight and Government Reform,Introduced
114,1,6506,https://www.congress.gov/bill/114th-congress/house-bill/6506?s=9&r=31,"To provide that the President shall be financially responsible for any additional security measures imposed on property in which the President holds an ownership interest, and for other purposes.","Grayson, Alan",D,FL,9,0,0,0,0,House - Oversight and Government Reform,Introduced
114,1,6505,https://www.congress.gov/bill/114th-congress/house-bill/6505?s=9&r=32,Andrew Joseph III Act of 2016,"Grayson, Alan",D,FL,9,0,0,0,0,House - Judiciary,Introduced
114,1,6504,https://www.congress.gov/bill/114th-congress/house-bill/6504?s=9&r=33,"To prohibit the use of United States Government funds to provide assistance to Al Qaeda, Jabhat Fateh al-Sham, and the Islamic State of Iraq and the Levant (ISIL) and to countries supporting those organizations, and for other purposes.","Gabbard, Tulsi",D,HI,2,5,2,0,0,House - Foreign Affairs; Intelligence (Permanent Select),Introduced
114,1,6503,https://www.congress.gov/bill/114th-congress/house-bill/6503?s=9&r=34,Care for Life Act,"Fortenberry, Jeff",R,NE,1,0,0,0,0,House - Energy and Commerce; Education and the Workforce,Introduced
114,1,6502,https://www.congress.gov/bill/114th-congress/house-bill/6502?s=9&r=35,Seat Belts Save Lives Act of 2016,"Duckworth, Tammy",D,IL,8,1,1,0,0,House - Transportation and Infrastructure,Introduced
114,1,6501,https://www.congress.gov/bill/114th-congress/house-bill/6501?s=9&r=36,Prescription Drug and Medical Device Price Review Board Act of 2016,"DeLauro, Rosa L.",D,CT,3,8,8,0,0,House - Energy and Commerce; Ways and Means; Judiciary,Introduced
114,1,6500,https://www.congress.gov/bill/114th-congress/house-bill/6500?s=9&r=37,Moving Housing Forward Act of 2016,"Delaney, John K.",D,MD,6,2,2,0,0,House - Financial Services; Ways and Means,Introduced
114,1,6499,https://www.congress.gov/bill/114th-congress/house-bill/6499?s=9&r=38,Second Chance for Ex-Offenders Act of 2016,"Davis, Danny K.",D,IL,7,0,0,0,0,House - Judiciary,Introduced
114,1,6498,https://www.congress.gov/bill/114th-congress/house-bill/6498?s=9&r=39,Presidential Tax Disclosure Act of 2016,"Cicilline, David N.",D,RI,1,22,22,0,0,House - Oversight and Government Reform; Ways and Means,Introduced
114,1,6497,https://www.congress.gov/bill/114th-congress/house-bill/6497?s=9&r=40,TSA Screening Transparency and Accountability Act,"Carter, Earl L. ""Buddy""",R,GA,1,0,0,0,0,House - Homeland Security,Introduced
114,1,6496,https://www.congress.gov/bill/114th-congress/house-bill/6496?s=9&r=41,Fairness for American Small Creators Act,"Chu, Judy",D,CA,27,1,0,0,0,House - Judiciary,Introduced
114,1,6495,https://www.congress.gov/bill/114th-congress/house-bill/6495?s=9&r=42,Ensure Access to DACA Act,"Veasey, Marc A.",D,TX,33,1,1,1,1,House - Judiciary,Introduced
114,1,6494,https://www.congress.gov/bill/114th-congress/house-bill/6494?s=9&r=43,Postage Free Ballot Act,"Veasey, Marc A.",D,TX,33,0,0,0,0,House - Oversight and Government Reform; House Administration,Introduced
114,1,6493,https://www.congress.gov/bill/114th-congress/house-bill/6493?s=9&r=44,Service Members Financial Planning Assistance Act of 2016,"Veasey, Marc A.",D,TX,33,0,0,0,0,House - Armed Services,Introduced
114,1,6492,https://www.congress.gov/bill/114th-congress/house-bill/6492?s=9&r=45,Tax Benefit for Homeownership Clarification Act,"Ellison, Keith",D,MN,5,0,0,0,0,House - Ways and Means,Introduced
114,1,6491,https://www.congress.gov/bill/114th-congress/house-bill/6491?s=9&r=46,"To authorize the Secretary of the Interior to convey certain land to La Paz County, Arizona, and for other purposes.","Gosar, Paul A.",R,AZ,4,0,0,0,0,House - Natural Resources,Introduced
114,1,6490,https://www.congress.gov/bill/114th-congress/house-bill/6490?s=9&r=47,American Innovation and Competitiveness Act,"Smith, Lamar",R,TX,21,0,0,0,0,"House - Science, Space, and Technology; Oversight and Government Reform; Education and the Workforce",Introduced
114,1,6489,https://www.congress.gov/bill/114th-congress/house-bill/6489?s=9&r=48,Social Security Reform Act of 2016,"Johnson, Sam",R,TX,3,0,0,0,0,House - Ways and Means,Introduced
114,1,6488,https://www.congress.gov/bill/114th-congress/house-bill/6488?s=9&r=49,Municipal Securities Disclosure Act of 2016,"Moore, Gwen",D,WI,4,0,0,0,0,House - Financial Services,Introduced
114,1,6487,https://www.congress.gov/bill/114th-congress/house-bill/6487?s=9&r=50,Taxpayer Protections and Market Access for Mortgage Finance Act of 2016,"Royce, Edward R.",R,CA,39,1,0,0,0,House - Financial Services; Agriculture; Ways and Means,Introduced
114,1,6486,https://www.congress.gov/bill/114th-congress/house-bill/6486?s=9&r=51,Laquan McDonald Camera Act of 2016,"Rush, Bobby L.",D,IL,1,0,0,0,0,House - Judiciary,Introduced
114,1,6485,https://www.congress.gov/bill/114th-congress/house-bill/6485?s=9&r=52,Improving Care for Vulnerable Older Citizens through Workforce Advancement Act of 2016,"Cartwright, Matt",D,PA,17,5,5,0,0,House - Education and the Workforce,Introduced
114,1,6484,https://www.congress.gov/bill/114th-congress/house-bill/6484?s=9&r=53,"Commission to Study Family Reconstruction Proposals for African-Americans Unjustly Impacted by the ""War on Drugs"" Act of 2016","Rush, Bobby L.",D,IL,1,0,0,0,0,House - Judiciary,Introduced
114,1,6483,https://www.congress.gov/bill/114th-congress/house-bill/6483?s=9&r=54,SWINE Act,"Price, David E.",D,NC,4,0,0,0,0,House - Agriculture; Ways and Means,Introduced
114,1,6482,https://www.congress.gov/bill/114th-congress/house-bill/6482?s=9&r=55,Frank R. Wolf International Religious Freedom Act,"Smith, Christopher H.",R,NJ,4,0,0,0,0,House - Foreign Affairs; Financial Services; Oversight and Government Reform,Introduced
114,1,6481,https://www.congress.gov/bill/114th-congress/house-bill/6481?s=9&r=56,Urban Agriculture Production Act of 2016,"Kaptur, Marcy",D,OH,9,5,4,1,1,House - Agriculture,Introduced
114,1,6480,https://www.congress.gov/bill/114th-congress/house-bill/6480?s=9&r=57,Intelligence Authorization Act for Fiscal Year 2017,"Nunes, Devin",R,CA,22,1,0,1,0,House - Intelligence (Permanent Select),Passed House
114,1,6479,https://www.congress.gov/bill/114th-congress/house-bill/6479?s=9&r=58,Red River Gradient Boundary Survey Act,"Thornberry, Mac",R,TX,13,0,0,0,0,House - Natural Resources,Introduced
114,1,6478,https://www.congress.gov/bill/114th-congress/house-bill/6478?s=9&r=59,Interstate Doxxing Prevention Act,"Clark, Katherine M.",D,MA,5,0,0,0,0,House - Judiciary,Introduced
114,1,6477,https://www.congress.gov/bill/114th-congress/house-bill/6477?s=9&r=60,Foreign Cultural Exchange Jurisdictional Immunity Clarification Act,"Chabot, Steve",R,OH,1,3,1,0,0,Latest Action: 12/16/2016 Became Public Law No: 114-319. (PDF) (All Actions),Became Law
114,1,6476,https://www.congress.gov/bill/114th-congress/house-bill/6476?s=9&r=61,DRAIN the SWAMP Act,"DeFazio, Peter A.",D,OR,4,4,4,0,0,House - Judiciary,Introduced
114,1,6475,https://www.congress.gov/bill/114th-congress/house-bill/6475?s=9&r=62,"To remove reversionary clauses on property owned by the municipality of Anchorage, Alaska.","Young, Don",R,AK,At Large,0,0,0,0,House - Natural Resources,Introduced
